iter	RMSE
0	78476.4285
1	77680.07704
2	76855.798
3	76111.45398
4	75349.75807
5	74693.96759
6	73825.9941
7	73021.43201
8	72229.83485
9	71393.69976
10	70604.00115
11	69841.90843
12	68974.60119
13	68318.00379
14	67555.33337
15	66743.24699
16	65998.76531
17	65391.37117
18	64793.68955
19	64121.3248
20	63393.89531
21	62793.02001
22	62221.0292
23	61798.33727
24	61109.05165
25	60602.15921
26	60031.70305
27	59486.96233
28	58849.01886
29	58282.28356
30	57715.21085
31	57214.93797
32	56774.0336
33	56272.15381
34	55728.00536
35	55316.81263
36	54767.71404
37	54275.42481
38	53893.77459
39	53350.27212
40	52893.46273
41	52417.76039
42	51899.55762
43	51445.01295
44	51156.11994
45	50669.75918
46	50190.32416
47	49815.78819
48	49474.93435
49	49091.36984
50	48662.77498
51	48347.85732
52	47940.70535
53	47692.09495
54	47374.79392
55	47035.07711
56	46621.16262
57	46300.70361
58	46018.15048
59	45745.3794
60	45438.72803
61	45168.79321
62	44879.78381
63	44557.82394
64	44241.22347
65	43896.59113
66	43671.69308
67	43431.18685
68	43190.64869
69	42993.96525
70	42749.98455
71	42436.05605
72	42223.51595
73	41990.12223
74	41799.87462
75	41626.32113
76	41371.03119
77	41124.62791
78	40963.35315
79	40731.65846
80	40570.14745
81	40327.65304
82	40122.71592
83	39930.50809
84	39746.82742
85	39549.52644
86	39358.78607
87	39132.08199
88	38952.8389
89	38740.31707
90	38542.22845
91	38348.88693
92	38201.84645
93	37988.70926
94	37821.24974
95	37691.21672
96	37524.93925
97	37314.14928
98	37155.3252
99	36937.23014
100	36784.622
101	36596.23529
102	36412.83074
103	36272.77095
104	36104.50287
105	35921.41831
106	35774.81592
107	35655.76419
108	35525.86078
109	35394.61355
110	35240.88601
111	35149.48933
112	35032.6853
113	34884.01113
114	34723.33268
115	34623.10381
116	34494.04464
117	34391.21521
118	34246.32215
119	34089.88054
120	33982.71367
121	33891.35382
122	33783.30373
123	33656.84348
124	33537.62394
125	33425.86497
126	33314.76678
127	33220.91083
128	33126.03309
129	33016.96849
130	32922.07464
131	32813.55601
132	32703.37666
133	32587.9559
134	32453.76188
135	32321.14429
136	32228.98872
137	32142.50197
138	32054.54838
139	31950.58559
140	31844.57687
141	31720.71703
142	31631.81202
143	31523.54745
144	31450.83481
145	31338.16783
146	31260.10158
147	31187.84261
148	31092.03333
149	30994.13552
150	30923.47887
151	30851.13188
152	30719.06612
153	30602.20716
154	30508.02005
155	30424.27704
156	30317.95092
157	30232.96235
158	30162.07727
159	30059.90664
160	29966.47109
161	29874.68955
162	29816.95646
163	29773.8703
164	29698.70914
165	29634.42974
166	29585.50705
167	29547.41318
168	29461.55001
169	29372.56293
170	29311.12716
171	29266.36053
172	29188.33605
173	29112.04032
174	29053.76757
175	28992.6044
176	28904.0386
177	28838.50287
178	28746.90942
179	28693.14418
180	28631.41877
181	28577.25031
182	28532.43114
183	28481.23264
184	28420.25669
185	28314.51007
186	28255.3443
187	28181.68061
188	28117.37018
189	28042.40813
190	28002.77623
191	27964.70153
192	27889.98257
193	27792.22122
194	27712.51629
195	27656.72364
196	27579.97925
197	27506.67354
198	27457.71083
