iter	Passed	Remaining
0	2	4861
1	4	4530
2	6	4504
3	7	4398
4	9	4318
5	11	4262
6	13	4257
7	15	4232
8	17	4263
9	18	4242
10	20	4216
11	22	4178
12	24	4195
13	26	4182
14	27	4165
15	29	4157
16	31	4156
17	33	4181
18	35	4175
19	37	4168
20	39	4154
21	40	4146
22	42	4132
23	44	4144
24	46	4156
25	48	4164
26	51	4222
27	53	4231
28	55	4230
29	56	4172
30	58	4164
31	59	4150
32	61	4151
33	63	4152
34	65	4165
35	67	4153
36	69	4142
37	71	4137
38	72	4126
39	74	4141
40	76	4141
41	78	4144
42	80	4150
43	82	4143
44	84	4135
45	86	4128
46	87	4119
47	89	4110
48	91	4101
49	93	4098
50	95	4099
51	97	4102
52	98	4097
53	100	4090
54	102	4085
55	104	4081
56	105	4076
57	107	4075
58	109	4071
59	111	4068
60	113	4086
61	115	4082
62	117	4077
63	119	4072
64	120	4066
65	122	4059
66	124	4056
67	126	4060
68	128	4067
69	130	4064
70	132	4059
71	134	4053
72	135	4048
73	137	4043
74	139	4041
75	141	4039
76	143	4041
77	145	4043
78	147	4044
79	149	4050
80	151	4047
81	153	4046
82	154	4046
83	156	4044
84	158	4044
85	161	4057
86	163	4056
87	165	4054
88	166	4052
89	168	4052
90	170	4050
91	172	4049
92	174	4052
93	176	4054
94	178	4052
95	179	4035
96	181	4033
97	183	4032
98	185	4030
99	187	4028
100	190	4042
101	192	4044
102	193	4042
103	195	4037
104	197	4036
105	199	4033
106	201	4030
107	203	4027
108	205	4030
109	207	4030
110	209	4032
111	211	4033
112	213	4031
113	215	4030
114	216	4027
115	218	4024
116	220	4024
117	222	4023
118	224	4024
119	226	4021
120	228	4017
121	230	4014
122	232	4011
123	233	4008
124	235	4006
125	237	4008
126	239	4010
127	241	4010
128	243	4010
129	246	4023
130	248	4024
131	250	4020
132	252	4019
133	254	4020
134	256	4021
135	258	4020
136	260	4018
137	262	4016
138	264	4012
139	266	4011
140	268	4010
141	270	4009
142	272	4008
143	273	4007
144	275	4003
145	277	4000
146	279	3996
147	281	3993
148	283	3993
149	285	3993
150	288	4003
151	289	4000
152	291	3996
153	293	3993
154	295	3989
155	296	3985
156	298	3980
157	300	3977
158	302	3974
159	304	3972
160	306	3972
161	308	3982
162	310	3978
163	312	3974
164	314	3969
165	316	3967
166	317	3964
167	319	3962
168	321	3959
169	323	3955
170	325	3951
171	326	3948
172	328	3944
173	330	3940
174	332	3938
175	333	3935
176	335	3934
177	337	3931
178	339	3931
179	341	3929
180	343	3925
181	345	3923
182	346	3918
183	348	3915
184	350	3913
185	352	3910
186	354	3907
187	355	3903
188	357	3900
189	359	3897
190	361	3894
191	363	3890
192	364	3888
193	366	3886
194	368	3884
195	370	3881
196	372	3884
197	374	3880
198	375	3868
199	377	3865
200	378	3862
201	380	3860
202	382	3857
203	384	3854
204	386	3851
205	387	3848
206	389	3844
207	391	3842
208	393	3838
209	394	3835
210	396	3833
211	398	3829
212	400	3828
213	402	3825
214	403	3822
215	405	3818
216	407	3815
217	408	3811
218	410	3809
219	412	3807
220	414	3805
221	416	3803
222	418	3800
223	419	3797
224	421	3794
225	423	3791
226	425	3788
227	426	3785
228	428	3783
229	430	3783
230	432	3781
231	434	3777
232	436	3774
233	437	3773
234	439	3770
235	441	3767
